term,definition,category,example_usage
Amortization,"The gradual repayment of a debt over time through regular payments, or the spreading of an intangible asset's cost over its useful life.",accounting,"The company amortizes its patent over 20 years, recording $50,000 annually as an expense."
Arbitrage,"The simultaneous purchase and sale of an asset in different markets to profit from price differences.",investment,"The trader identified an arbitrage opportunity when gold futures were priced differently on COMEX and the London Metal Exchange."
Asset Allocation,"The strategy of dividing investments among different asset categories such as stocks, bonds, and cash equivalents.",investment,"Her financial advisor recommended a 60/40 asset allocation between equities and fixed income based on her risk tolerance."
Balance Sheet,"A financial statement showing a company's assets, liabilities, and shareholders' equity at a specific point in time.",accounting,"The balance sheet revealed total assets of $2.4 million offset by $1.1 million in liabilities."
Basis Point,"One-hundredth of a percentage point (0.01%), commonly used to measure changes in interest rates and bond yields.",banking,"The Federal Reserve raised the federal funds rate by 25 basis points, bringing it to 5.50%."
Beta,"A measure of a stock's volatility relative to the overall market. A beta of 1.0 indicates the stock moves with the market.",investment,"With a beta of 1.4, the tech stock is expected to be 40% more volatile than the S&P 500."
Book Value,"The net value of an asset as recorded on the balance sheet, calculated as total assets minus total liabilities.",accounting,"The company's book value per share was $24.50, while its market price was $67, indicating significant intangible value."
Capital Expenditure,"Funds used by a company to acquire, upgrade, or maintain physical assets such as property, buildings, or equipment.",accounting,"The manufacturing firm budgeted $5 million in capital expenditure for new production line equipment."
Collateral,"An asset pledged by a borrower to secure a loan, which the lender can seize if the borrower defaults.",banking,"The business owner used commercial real estate as collateral to secure a $500,000 business expansion loan."
Compound Interest,"Interest calculated on both the initial principal and the accumulated interest from previous periods.",banking,"A $10,000 investment at 5% compound interest annually grows to $16,288.95 after 10 years."
Convertible Note,"A short-term debt instrument that converts into equity, typically at a discounted price, during a future financing round.",investment,"The startup raised $500,000 through convertible notes with a 20% discount and $5 million valuation cap."
Cost of Goods Sold,"Direct costs attributable to the production of goods sold by a company, including materials and direct labor.",accounting,"COGS increased 12% year-over-year due to rising raw material costs, compressing gross margins."
Credit Default Swap,"A financial derivative that transfers credit risk from one party to another, acting as insurance against bond default.",investment,"The bank purchased credit default swaps on its corporate bond portfolio to hedge against potential defaults."
